date,open,high,low,close,volume
2017-02-14,55.81,57.48,55.72,56.2,36726120
2017-02-15,56.0,56.45,55.29,55.95,24739280
2017-02-16,55.52,56.0,53.7,53.79,35386610
2017-02-17,53.16,54.58,52.83,54.45,31285745
2017-02-21,55.09,56.28,54.8,55.48,28383735
2017-02-22,56.06,56.69,54.52,54.7,43774875
2017-02-23,52.8,52.93,51.11,51.2,74576245
2017-02-24,50.53,51.65,50.04,51.4,40858130
2017-02-27,49.63,49.67,48.4,49.25,57304050
2017-02-28,48.84,50.2,48.78,50.0,30390725
2017-03-01,50.84,50.97,49.82,50.0,24047440
2017-03-02,49.94,50.66,49.65,50.1,16759165
2017-03-03,50.15,50.38,49.8,50.31,14646170
2017-03-06,49.58,50.34,49.5,50.24,16777500
2017-03-07,50.38,50.78,49.66,49.72,17297350
2017-03-08,49.4,50.01,49.06,49.37,18643245
2017-03-09,49.53,49.73,48.6,48.98,19396465
2017-03-10,49.24,49.3,48.6,48.74,15331360
2017-03-13,48.96,49.37,48.56,49.23,15113125
2017-03-14,49.22,51.62,49.2,51.6,37992230
2017-03-15,51.4,52.2,50.85,51.15,26654030
2017-03-16,52.48,53.15,51.81,52.41,35660765
2017-03-17,52.8,53.07,52.24,52.3,32487480
2017-03-20,52.12,52.91,51.76,52.38,18071470
2017-03-21,52.57,52.96,50.05,50.14,34542770
2017-03-22,50.31,51.01,50.1,51.0,20296485
2017-03-23,51.08,51.53,50.66,50.96,16601225
2017-03-24,51.14,52.78,51.0,52.63,28236265
2017-03-27,52.12,54.11,51.95,54.04,31153975
2017-03-28,55.4,56.14,55.0,55.49,39938020
2017-03-29,55.67,55.92,55.11,55.48,18380785
2017-03-30,55.61,56.4,55.44,55.58,20742130
2017-03-31,55.75,55.94,55.26,55.66,16473200
2017-04-03,57.38,59.8,56.92,59.7,69443090
2017-04-04,59.38,60.96,58.91,60.74,50672780
2017-04-05,60.41,60.98,58.84,59.0,39404690
2017-04-06,59.38,60.39,58.82,59.74,27602940
2017-04-07,59.5,60.54,59.43,60.51,22898065
2017-04-10,61.83,62.75,61.74,62.48,38322290
2017-04-11,62.68,62.69,61.1,61.74,28622885
2017-04-12,61.27,61.69,59.26,59.37,30253410
2017-04-13,59.34,61.48,59.06,60.8,46423170
2017-04-17,60.54,60.8,59.74,60.29,20693680
2017-04-18,59.94,60.17,59.58,60.05,15178490
2017-04-19,60.49,61.32,60.42,61.1,19490120
2017-04-20,61.3,61.83,60.05,60.5,30746760
2017-04-21,60.4,61.28,60.08,61.12,22548780
2017-04-24,61.84,62.11,61.2,61.61,25417525
2017-04-25,61.6,62.8,61.17,62.76,33688540
2017-04-26,62.47,62.9,61.8,62.03,23475220
2017-04-27,62.34,62.62,61.5,61.73,17342845
2017-04-28,61.97,62.96,61.6,62.81,22527390
2017-05-01,62.98,65.45,62.96,64.57,44147825
2017-05-02,64.8,65.53,63.31,63.78,26913885
2017-05-03,63.53,64.31,62.09,62.2,35666825
2017-05-04,61.49,61.55,58.15,59.09,70760040
2017-05-05,59.6,61.71,59.36,61.67,40886735
2017-05-08,62.18,62.76,61.16,61.44,35032355
2017-05-09,61.88,64.4,61.82,64.25,48382685
2017-05-10,64.31,65.1,63.62,65.04,28708035
2017-05-11,64.68,65.2,63.92,64.62,23769095
