Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
OMFS,100,0,0.00,0,0.00,24.74,100,0
SPMV,100,0,0.00,0,0.00,31.93,100,0
UDEC,100,0,0.00,0,0.00,27.17,100,0
FYLD,68,0,0.00,0,0.00,20.70,68,0
EUDV,67,0,0.00,0,0.00,43.50,67,0
TPAY,59,0,0.00,0,0.00,35.51,59,0
NJAN,55,0,0.00,0,0.00,37.23,55,0
PEX,52,0,0.00,0,0.00,28.13,52,0
DFVL,51,0,0.00,0,0.00,74.00,51,0
JMUB,50,0,0.00,0,0.00,54.52,50,0
IMOM,49,0,0.00,0,0.00,27.35,48,1
DEFA,46,0,0.00,0,0.00,27.05,46,0
NULC,40,0,0.00,0,0.00,31.94,40,0
MAGA,38,0,0.00,0,0.00,25.87,38,0
CEFS,36,0,0.00,0,0.00,18.81,36,0
FLHY,31,0,0.00,0,0.00,25.62,31,0
PNOV,27,0,0.00,0,0.00,26.96,27,0
IEFN,26,0,0.00,0,0.00,21.12,26,0
VAMO,18,0,0.00,0,0.00,17.27,18,0
AUGZ,16,0,0.00,0,0.00,25.55,16,0
VMOT,16,0,0.00,0,0.00,23.29,16,0
IBHA,14,0,0.00,0,0.00,24.17,14,0
UAPR,13,0,0.00,0,0.00,24.38,13,0
SOVB,11,0,0.00,0,0.00,24.80,11,0
BOCT,10,0,0.00,0,0.00,27.47,10,0
GAA,10,0,0.00,0,0.00,26.79,10,0
XSHQ,7,0,0.00,0,0.00,25.87,7,0
KAPR,5,0,0.00,0,0.00,26.08,5,0
PBEE,5,0,0.00,0,0.00,24.60,5,0
RESE,5,0,0.00,0,0.00,30.78,5,0
MSVX,4,0,0.00,0,0.00,24.10,4,0
PSMC,4,0,0.00,0,0.00,13.03,4,0
RSXJ,3,0,0.00,0,0.00,33.05,3,0
TFIV,3,0,0.00,0,0.00,22.59,3,0
ESHY,2,0,0.00,0,0.00,20.49,2,0
FCPI,2,0,0.00,0,0.00,24.40,2,0
LKOR,2,0,0.00,0,0.00,62.64,2,0
PBSM,2,0,0.00,0,0.00,26.00,2,0
TFLT,2,0,0.00,0,0.00,24.11,2,0
EMSH,1,0,0.00,0,0.00,73.00,1,0
ADFI,0,0,0.00,0,0.00,0.00,0,0
AFIF,0,0,0.00,0,0.00,0.00,0,0
ALTS,0,0,0.00,0,0.00,0.00,0,0
BAPR,0,0,0.00,0,0.00,0.00,0,0
BUFR,0,0,0.00,0,0.00,0.00,0,0
DFVS,0,0,0.00,0,0.00,0.00,0,0
DJUL,0,0,0.00,0,0.00,0.00,0,0
EMDV,0,0,0.00,0,0.00,0.00,0,0
ESEB,0,0,0.00,0,0.00,0.00,0,0
EURZ,0,0,0.00,0,0.00,0.00,0,0
FLBL,0,0,0.00,0,0.00,0.00,0,0
FLIA,0,0,0.00,0,0.00,0.00,0,0
FLQS,0,0,0.00,0,0.00,0.00,0,0
FUNL,0,0,0.00,0,0.00,0.00,0,0
GSEE,0,0,0.00,0,0.00,0.00,0,0
GSID,0,0,0.00,0,0.00,0.00,0,0
HCRB,0,0,0.00,0,0.00,0.00,0,0
HSRT,0,0,0.00,0,0.00,0.00,0,0
ICOW,0,0,0.00,0,0.00,0.00,0,0
IMLP,0,0,0.00,0,0.00,0.00,0,0
JULZ,0,0,0.00,0,0.00,0.00,0,0
MAAX,0,0,0.00,0,0.00,0.00,0,0
MRGR,0,0,0.00,0,0.00,0.00,0,0
NOCT,0,0,0.00,0,0.00,0.00,0,0
PBND,0,0,0.00,0,0.00,0.00,0,0
RODE,0,0,0.00,0,0.00,0.00,0,0
RODI,0,0,0.00,0,0.00,0.00,0,0
ROMO,0,0,0.00,0,0.00,0.00,0,0
SFHY,0,0,0.00,0,0.00,0.00,0,0
SFIG,0,0,0.00,0,0.00,0.00,0,0
STLC,0,0,0.00,0,0.00,0.00,0,0
STLG,0,0,0.00,0,0.00,0.00,0,0
STLV,0,0,0.00,0,0.00,0.00,0,0
STMB,0,0,0.00,0,0.00,0.00,0,0
STSB,0,0,0.00,0,0.00,0.00,0,0
TAEQ,0,0,0.00,0,0.00,0.00,0,0
TAPR,0,0,0.00,0,0.00,0.00,0,0
TEGS,0,0,0.00,0,0.00,0.00,0,0
TFJL,0,0,0.00,0,0.00,0.00,0,0
TMDV,0,0,0.00,0,0.00,0.00,0,0
TTAI,0,0,0.00,0,0.00,0.00,0,0
UMAR,0,0,0.00,0,0.00,0.00,0,0
UMAY,0,0,0.00,0,0.00,0.00,0,0
UNOV,0,0,0.00,0,0.00,0.00,0,0
USEQ,0,0,0.00,0,0.00,0.00,0,0
VFLQ,0,0,0.00,0,0.00,0.00,0,0
VWID,0,0,0.00,0,0.00,0.00,0,0
WFIG,0,0,0.00,0,0.00,0.00,0,0
WIL,0,0,0.00,0,0.00,0.00,0,0
